구분,유저,챗봇
상태/양호,그 후에 딱히 큰 이상은 없었어요. 지금도 그렇구요.,"안정적인 상태는 종종 개인의 심리적 안정을 증진시킵니다. 이러한 경험을 소중히 여기고, 긍정적인 방향으로 나아가는 것이 중요합니다."
상태/양호,딱히 엄청 큰 고민이 있는 건 아닌데… 요즘 잘 지내거든.,"긍정적인 상태는 종종 개인의 정신적 건강에 기여합니다. 이러한 경험을 수용하고, 필요한 지원을 요청하는 것이 중요합니다."
상태/양호,근데 딱히 일상생활에 지장이 있는 건 아니에요.,"일상적인 안정감은 종종 개인의 행복에 기여합니다. 이러한 경험을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
상태/증상감소,그러다 말았고 이제는 또 안 그래서 그냥 잊고 사는데…,"감정의 회복은 종종 시간이 필요합니다. 이러한 과정을 소중히 여기고, 긍정적인 방향으로 나아가는 것이 중요합니다."
상태/증상감소,그래서 이 얘기도 했는데 그 덕분인지 진짜 증상이 확 줄었거든.,"자기 표현은 종종 심리적 회복에 기여합니다. 이러한 경험을 소중히 여기고, 긍정적인 방향으로 나아가는 것이 중요합니다."
상태/증상감소,상담 덕분인지 뭔지 모르겠지만 하여튼 우울감도 줄고 환청도 안 들리게 됐어.,"전문가의 도움은 종종 개인의 심리적 안정을 증진시킵니다. 이러한 지원을 소중히 여기고, 긍정적인 방향으로 나아가는 것이 중요합니다."
상태/증상감소,"다행인지 불행인지 부작용도 없고, 지금은 아무렇지도 않아요.","심리적 안정은 종종 개인의 정신 건강에 긍정적인 영향을 미칩니다. 이러한 상태를 소중히 여기고, 긍정적인 방향으로 나아가는 것이 중요합니다."
상태/증상감소,죽고싶단 생각은 안하려고 노력하고 있어요.,"삶에 대한 의지를 유지하려는 노력은 중요합니다. 이 감정을 수용하고, 필요한 지원을 요청하는 것이 중요합니다."
상태/증상지속,첨에 그게 나타난 게 한 7년 쯤 됐나?,"오랜 기간 지속된 감정은 종종 개인의 삶에 큰 영향을 미칩니다. 이러한 경험을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
상태/증상지속,내일은 좀 낫겠지 내일은 좀 낫겠지 싶었는데 계속 똑같아.,희망적인 기대는 종종 개인의 정신적 안정에 기여합니다. 그러나 변화가 없을 때는 심리적 부담이 증가할 수 있습니다.
상태/증상지속,여전한데 그냥 안 가고 있어.,"회피는 종종 문제를 심화시킬 수 있습니다. 이러한 상황을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
상태/증상지속,시간 좀 지나면 나아질 줄 알았는데 나아지는 게 하나도 없어.,"변화의 지연은 종종 개인의 불안감을 증가시킵니다. 이러한 감정을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
상태/증상지속,계속 이러니까 사람 있나 확인하는 게 버릇 됐다니까.,"주변의 확인은 종종 심리적 안정감을 증진시킵니다. 이러한 행동을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
원인/없음,특별히 스트레스 받을 일은 없어요. ,"스트레스의 원인은 종종 명확하지 않을 수 있습니다. 이러한 상황을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
원인/없음,특별히 무슨 일이 있거나 그런 건 아니에요.,"감정의 원인을 찾는 것은 어려운 과정일 수 있습니다. 자신의 감정을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
원인/없음,학교에서 누가 괴롭히거나… 그런 건 없는데요.,"외부의 괴롭힘이 없더라도 내면의 갈등은 여전히 존재할 수 있습니다. 이러한 감정을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
원인/없음,특별히 스트레스 받는 일이 없거든요?,"스트레스의 원인은 종종 심리적 요인에서 비롯됩니다. 이러한 감정을 수용하고, 필요한 지원을 요청하는 것이 중요합니다."
원인/없음,특별히 스트레스 받은 일도 없었는데 갑자기 막 이래.,"감정의 변동은 종종 예측할 수 없는 경우가 많습니다. 이러한 상황을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
일반대화,무슨 기분인지 아니?,"감정의 복잡성은 종종 개인의 심리적 상태를 반영합니다. 이러한 감정을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
일반대화,나 좀 도와줄 수 있어요?,도움을 요청하는 것은 중요한 첫걸음입니다. 필요한 지원을 요청하는 것이 중요합니다.
일반대화,대체 왜 그러시는 걸까요?,"감정의 원인을 이해하려는 노력은 종종 개인의 성장에 기여합니다. 이러한 과정을 소중히 여기고, 긍정적인 방향으로 나아가는 것이 중요합니다."
자가치료/심리조절,"실수 좀 해도 괜찮다, 틀려도 괜찮다 생각은 하긴 하는데 잘 안 돼.","자기 비판은 종종 개인의 자존감에 영향을 미칩니다. 이러한 감정을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
자가치료/심리조절,그래서 혼자 잘 다독이고 의연하게 지내려고 노력했어요.,"자기 다짐은 종종 개인의 회복력에 기여합니다. 이러한 노력을 소중히 여기고, 긍정적인 방향으로 나아가는 것이 중요합니다."
자가치료/심리조절,"그럴 일 없다, 안 그럴 거다 스스로 다스려봤는데 잘 안 됐어요.","자기 관리의 어려움은 종종 개인의 심리적 부담을 증가시킵니다. 이러한 감정을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
자가치료/심리조절,저 혼자 할 수 있을 것 같아요. 잘 다스리고 있으니까요.,"자기 효능감은 종종 개인의 성장에 기여합니다. 이러한 믿음을 소중히 여기고, 긍정적인 방향으로 나아가는 것이 중요합니다."
자가치료/심리조절,심리적인 문제일거라 생각하고 마음을 다잡고 있었는데..,"자기 인식은 개인의 회복에 중요한 요소입니다. 이러한 감정을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
자가치료/심리조절/증상지속,"어떻게든 진정을 해보려고, 심호흡을 하는데도 소용이 없더라고.",심호흡은 종종 긴장 완화에 도움이 됩니다. 그러나 효과가 없을 때는 다른 방법을 모색하는 것이 중요합니다.
자가치료/심리조절/증상지속,"캔들 있잖아, 그것도 사다가 피워 보고… 근데도 아무 소용이 없더라.",다양한 방법을 시도하는 것은 긍정적인 접근입니다. 그러나 효과가 없을 때는 다른 지원을 찾는 것이 중요합니다.
자가치료/심리조절/증상지속,마음을 편하게 먹어 보려고 했는데 그게 잘 안 되더라고…,"마음의 안정은 종종 어려운 과정입니다. 이러한 경험을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
자가치료/심리조절/증상지속,그래서 잠깐 갓길에 대고 괜찮다 최면 걸듯이 했는데도 잘 안 돼요.,자기 다독임은 종종 내면의 안정에 기여합니다. 그러나 어려움을 느낄 때는 전문가의 도움을 받는 것이 중요합니다.
자가치료/심리조절/증상지속,음악을 듣거나… 명상을 해도 그때뿐이야.,"일시적인 안정은 종종 장기적인 해결책이 아닙니다. 다양한 방법을 모색하고, 필요한 지원을 요청하는 것이 중요합니다."
자가치료/운동,일부러 술 생각 안하려고 야간 헬스장 다니면서 미친듯이 운동도 했어.,운동은 스트레스 해소에 긍정적인 영향을 미칠 수 있습니다. 그러나 과도한 운동은 피로를 초래할 수 있습니다.
자가치료/운동,가벼운 운동도 하는 게 좋다고 해서… 운동도 하려고.,"건강한 생활 습관은 종종 정신적 안정에 기여합니다. 이러한 노력을 소중히 여기고, 긍정적인 방향으로 나아가는 것이 중요합니다."
자가치료/운동,일부러 운동으로 몸을 혹사 시켜서 거의 기절하듯이 자고는 있는데…,"과도한 운동은 종종 신체적, 정신적 피로를 초래할 수 있습니다. 이러한 상황을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
자가치료/운동,남자친구가 운동하면 괜찮을 거라고 해서 요가를 시작했는데.,"새로운 활동의 시도는 긍정적인 변화를 가져올 수 있습니다. 이러한 경험을 소중히 여기고, 긍정적인 방향으로 나아가는 것이 중요합니다."
자가치료/운동,먹은 만큼 운동도 하고 있어!,"균형 잡힌 생활 습관은 종종 정신적 안정에 기여합니다. 이러한 노력을 소중히 여기고, 긍정적인 방향으로 나아가는 것이 중요합니다."
자가치료/충분한휴식,그냥 집에서 푹 쉬면 되겠지 싶어서 그날은 집에 일찍 들어가서 쉬었지.,"휴식은 회복과 재충전에 중요합니다. 이러한 시간을 소중히 여기고, 긍정적인 방향으로 나아가는 것이 중요합니다."
자가치료/충분한휴식,너무 힘든 날은 하루종일 집에서 쉬었어.,"자기 돌봄은 정신적 건강에 필수적입니다. 이러한 경험을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
자가치료/충분한휴식,힘들면 잠시 앉아서 쉬면 낫더라고..,휴식은 회복에 필수적입니다. 자신을 돌보는 시간을 갖는 것이 중요합니다.
자가치료/충분한휴식,"살이 너무 많이 빠져서 그런가보다, 좀 쉬면 괜찮겠지 했어요.","체중 변화는 종종 심리적 상태와 연결됩니다. 이러한 변화를 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
자가치료/충분한휴식,지금은 방학기간이라 잠시 쉬고 있어요.,"휴식의 기회는 종종 개인의 재충전에 기여합니다. 이러한 시간을 소중히 여기고, 긍정적인 방향으로 나아가는 것이 중요합니다."
증상/가슴답답,가슴도 답답한 게 터져버릴 것 같고…,"신체적 불편감은 종종 스트레스와 관련이 있습니다. 이러한 감정을 수용하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/가슴답답,잠에서 깨어날 때 위에서 누가 누르는 것처럼 가슴이 답답해.,"수면 중의 불편함은 종종 심리적 부담을 반영합니다. 이러한 경험을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/가슴답답,가슴에 돌덩이 올려놓은 것처럼 답답하고…,"신체적 증상은 종종 감정적 고통의 표현입니다. 이러한 감정을 수용하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/가슴답답,"아침마다 속에서 뭔가 꽉 막힌 게 느껴져서 답답하고, 별 일 없는데도 가슴이 떨려요.","불안감은 종종 신체적 증상으로 나타날 수 있습니다. 이러한 상황을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/가슴떨림,가만히 있는데도 가슴이 벌렁벌렁 떨리고…,"신체적 반응은 종종 내면의 갈등을 반영할 수 있습니다. 이러한 경험을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/가슴떨림,일주일에 세 번 정도 가슴이 미친 듯이 뛰어요.,"빈번한 심장 박동은 종종 스트레스나 불안의 결과입니다. 이러한 감정을 수용하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/가슴떨림,자꾸 그 생각만 하면 가슴이 쿵쿵 뛰는 것 같아요.,"특정 생각은 종종 신체적 반응을 유발할 수 있습니다. 이러한 경험을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/가슴떨림,근데 그 일 있고 나서 요즘 너무 가슴이 떨려요.,"사건의 영향은 종종 개인의 심리적 상태에 큰 영향을 미칩니다. 이러한 경험을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/가슴떨림,가만히 있어도 떨리고… 심장 뛰는 소리가 막 들려요.,"신체적 증상은 종종 내면의 불안과 연결됩니다. 이러한 감정을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/가슴통증,회사에서 일하는데 갑자기 가슴이 찌릿 통증이 오는 거에요.,"신체적 통증은 종종 스트레스의 결과일 수 있습니다. 이러한 경험을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/가슴통증,원래도 약간씩 가슴이 아플 때가 있었어요. ,"지속적인 통증은 종종 심리적 요인과 연결됩니다. 이러한 감정을 수용하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/가슴통증,명치 쪽이 너무 아파서 바닥에 누워있다가 겨우겨우 일어났어요. ,"신체적 증상은 종종 정신적 고통의 표현입니다. 이러한 경험을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/가슴통증,생각만 해도 가슴이 막 아리고 쓰리고 찌릿하고…,"감정의 표현은 종종 신체적 증상으로 나타납니다. 이러한 감정을 수용하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/가슴통증,조금만 움직여도 쇄골 쪽이 뻐근하고 아파.,"신체적 불편감은 종종 심리적 스트레스와 관련이 있습니다. 이러한 감정을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/건강염려,무슨 큰 병이라도 있는 건 아니겠죠?,"건강에 대한 두려움은 종종 불안을 증가시킵니다. 이러한 감정을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/건강염려,병원에 가봐야 할까요?,전문가의 상담은 종종 개인의 건강에 긍정적인 영향을 미칩니다. 필요한 지원을 요청하는 것이 중요합니다.
증상/건강염려,제 몸에 무슨 문제가 있는 거 아닐까요?,"신체적 증상은 종종 심리적 문제와 연결될 수 있습니다. 이러한 감정을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/건강염려,평소 때도 건강 걱정을 많이 하긴 해.,"건강에 대한 걱정은 종종 스트레스를 증가시킵니다. 이러한 감정을 수용하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/건강염려,사소한 사고가 발생해도 병원부터 가.,"건강에 대한 지나친 걱정은 종종 불안을 초래할 수 있습니다. 이러한 감정을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/공격적성향,어쩔 때는 사람을 막 패고 싶기도 해.,"분노의 감정은 종종 내면의 갈등을 반영합니다. 이러한 감정을 수용하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/공격적성향,손에 잡히는 거 아무거나 잡아가지고 한바탕 난리를 부렸어.,"감정의 폭발은 종종 스트레스의 결과입니다. 이러한 경험을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/공격적성향,누군가 나를 치기 전에 내가 먼저 쳐야 하는 거 아닌가 이런 생각도 들고.,"방어적인 태도는 종종 내면의 불안을 반영합니다. 이러한 감정을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/공격적성향,물건도 다 던지고..,"감정의 표현은 종종 신체적 행동으로 나타날 수 있습니다. 이러한 경험을 수용하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/공격적성향,그래 주먹으로 그냥..벽을 처버렸어.,"분노의 발산은 종종 심리적 고통의 표현입니다. 이러한 감정을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/공황발작,자다가 갑자기 숨이 안 쉬어져서 눈을 떴어. 머리가 핑핑 돌고 죽을것 같아서 바로 응급실에 갔지.,"수면 중의 불안감은 종종 심리적 문제를 반영합니다. 이러한 경험을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/공황발작,처음 공황발작이 있던 건 작년쯤이었어요.,"공황발작은 종종 심리적 스트레스의 결과입니다. 이러한 경험을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/공황발작,나중에 알고 보니까 이게 공황 발작 증상이라더라.,"공황발작의 인식은 종종 개인의 회복에 중요한 요소입니다. 이러한 경험을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/과대망상,"알바하는 중에 그 오빠 페북에 들어가봤는데, 약간 나한테 쓴 거 같은 글이 있는 거야.","타인의 행동은 종종 개인의 감정에 큰 영향을 미칩니다. 이러한 상황을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/과대망상,내가 열 번 스무 번 생각해봤는데 아무래도 내 이야기가 맞는 거 같아.,"자기 반성은 종종 개인의 성장에 중요한 요소입니다. 이러한 감정을 수용하고, 긍정적인 방향으로 나아가는 것이 중요합니다."
증상/과대망상,저를 보호해주려고 미행을 붙인 거 아닐까요?,"불안감은 종종 의심을 초래할 수 있습니다. 이러한 감정을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/과대망상,저주가 묻어있는 느낌이야.,"내면의 갈등과 불안은 종종 심리적 고통의 표현입니다. 이러한 감정을 수용하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/과대망상,성령이 내 몸에 들어오는 거거든.,"영적 경험은 종종 개인의 심리적 상태를 반영합니다. 이러한 감정을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/과수면,"오전 수업을 들으려면 8시에는 일어나야 하는데, 엄마가 깨우지 않으면 일어나지도 못해요.","외부의 지원은 종종 개인의 일상에 큰 영향을 미칩니다. 이러한 상황을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/과수면,수업 빠지면 뭐… 아침에 내내 잠만 자는 거지.,"규칙적인 수면 패턴은 정신적 건강에 중요합니다. 이러한 경험을 소중히 여기고, 긍정적인 방향으로 나아가는 것이 필요합니다."
증상/과수면,그리고 하루 동안 몰아서 12시간 넘게 잠만 자요.,"과도한 수면은 종종 심리적 스트레스의 결과일 수 있습니다. 이러한 상황을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/과수면,하루에 12시간은 자는 거 같아.,"장시간 수면은 종종 정신적 피로와 관련이 있습니다. 이러한 경험을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/과수면,자취하고서 아침에 못 일어나는 날이 많았어.,"자취 생활은 종종 규칙적인 생활 패턴을 유지하기 어렵게 만듭니다. 이러한 상황을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/기억력저하,그리고 또 요즘들어 기억력이 자꾸 떨어지는 것 같아. ,"기억력 저하는 종종 스트레스와 관련이 있습니다. 이러한 변화를 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/기억력저하,"일할 때도 손에 컵 들고, 어디 있는지 찾고… 이게 한 두 번이 아니라서 심각한 것 같아. ","잦은 건망증은 종종 심리적 부담을 반영합니다. 이러한 경험을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/기억력저하,근데 한 두 달전부터 자꾸 잘 잊어버리는 거에요. 핸드폰 손에 쥐고 찾는 건 기본이에요.,"잦은 기억상실은 스트레스나 불안의 결과일 수 있습니다. 이러한 감정을 수용하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/기억력저하,회사에서 옆자리 동료 이름이 갑자기 기억이 안나요. 그것도 하루 종일요. ,"사회적 상호작용에서의 기억력 저하는 스트레스를 증가시킬 수 있습니다. 이러한 감정을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/기억력저하,기억력이 떨어져서 이제는 몇 달 전에 있던 일도 잘 생각이 안 나. ,"기억력 저하는 종종 심리적 요인과 관련됩니다. 이러한 경험을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/기억력저하/집중력저하,"잠도 못 자고 날밤 샐 때가 많고, 몇 분 전 있었던 일도 까먹고, 일에 집중할 수가 없더라고요.","수면 부족은 종종 집중력과 기억력에 큰 영향을 미칩니다. 이러한 상황을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/기억력저하/집중력저하,금방 있었던 일도 아득하게 멀게 느껴져. 피부에 딱 안 와 닿는다고 해야 될까?,"현실감 상실은 종종 심리적 고통의 표현입니다. 이러한 감정을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/기억력저하/집중력저하,"기억력도 안 좋아진 것 같고, 어디 한 군데 집중하기가 힘들어요.","집중력 저하는 종종 정신적 스트레스와 관련이 있습니다. 이러한 경험을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/기억력저하/집중력저하,기억력도 떨어지고 집중력도 떨어져요.,"인지적 저하는 종종 심리적 요인과 연결됩니다. 이러한 감정을 수용하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/기억력저하/집중력저하,건망증도 심하고 집중력이 떨어지는 것 같아요. ,"이러한 증상은 종종 스트레스의 결과일 수 있습니다. 이러한 경험을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/기억상실,근데 다음날이 되니까 기억이 하나도 안 나는 거야. ,"기억의 소실은 종종 정신적 피로와 관련이 있습니다. 이러한 감정을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/기억상실,그 전에 병원을 다니면서 치료를 받긴 했는데 자세한 건 기억이 안 나요.,"치료 경험의 회상은 종종 감정적 혼란을 반영합니다. 이러한 상황을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/기억상실,부모님 집까지 온 건 알겠는데… 어디를 가야 할지 모르겠어서 발길 닿는 대로 걸었어요.,"방향 감각의 상실은 종종 심리적 혼란을 반영합니다. 이러한 경험을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/기억상실,으슬으슬하니 추워서 눈을 뜨니까 완전 다른 장소였어요.,"갑작스러운 장소의 변화는 종종 불안감을 초래할 수 있습니다. 이러한 경험을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/기억상실,"그때 무슨 일이 있었는지, 어떻게 병원으로 옮겨졌는지는 기억이 잘 안 나.","기억의 혼란은 종종 심리적 스트레스의 결과입니다. 이러한 상황을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/기절,5일 전에는 새벽에 일어나서 화장실을 가다가 순간적으로 정신을 잃었어.,"갑작스러운 기절은 종종 신체적 또는 정신적 부담을 반영합니다. 이러한 경험을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/기절,새벽에 일어나서 화장실을 가는데 갑자기 힘이 쫙 풀리면서 쿵 하고 쓰러졌어요.,"신체적 반응은 종종 내면의 스트레스와 연결됩니다. 이러한 감정을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/기절,저는 소파 아래에서 빨래 개고 있다 맞아서 잠깐 기절했어요.,"기절 경험은 종종 심리적 또는 신체적 요인에 의해 발생합니다. 이러한 경험을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/기절,잘 기억은 안 나는데 그러다 제가 기절을 했대요.,"기억의 소실은 종종 심리적 요인과 연결됩니다. 이러한 감정을 수용하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/기절,내가 그거 타다가 기절했거든. 그래서 누가 나를 업고 나왔대.,"타인의 도움은 종종 개인의 회복에 기여합니다. 이러한 경험을 소중히 여기고, 긍정적인 방향으로 나아가는 것이 중요합니다."
증상/기절예기,"제 친구도 지하철 멀미가 있다고 해서 안심을 했는데, 한 번 기절할 뻔하고 나니까 그게 아닌 거 같은 거예요.","친구의 경험은 종종 개인의 감정에 큰 영향을 미칩니다. 이러한 상황을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/기절예기,기절할 것 같은 느낌이 들어서 중간에 내렸어.,"불안감은 종종 신체적 반응을 유발할 수 있습니다. 이러한 감정을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/기절예기,순간 너무 놀라서 기절할뻔 했지 뭐야.,"극심한 불안은 종종 신체적 반응을 초래합니다. 이러한 경험을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/기절예기,그러다 쓰러질 것 같아서 결국 물 끄고 한참을 서 있었어요.,"불안감의 극복은 종종 어려운 과정입니다. 이러한 경험을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/대인기피,사람 많은 곳도 별로 안 좋아해요.,"사회적 상황에서의 불안은 종종 개인의 심리적 상태를 반영합니다. 이러한 감정을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/대인기피,"동기 모임도 안 나가고, 서서히 사람들과의 접촉이 줄어들었어요. ","사회적 고립은 종종 심리적 부담을 증가시킬 수 있습니다. 이러한 경험을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/대인기피,사람들한테 안 맞춰줘도 되고 편하니까 점점 혼자 다니게 되더라고요.,사회적 고립은 종종 개인의 심리적 안정을 찾으려는 노력의 일환입니다. 그러나 지나친 고립은 부정적인 영향을 미칠 수 있습니다.
증상/대인기피,점점 눈 마주치기도 힘들어지더라.,"타인과의 접촉 회피는 종종 불안감의 표현입니다. 이러한 경험을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/대인기피,낯선 사람을 만날 거 같은 자리는 더더욱 안 가고.,"새로운 환경에 대한 회피는 종종 불안감을 반영합니다. 이러한 상황을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/대화기피,말도 한마디 안 걸고… 저도 지기 싫어서 먼저 말 안 했죠.,"대화의 단절은 종종 개인의 고립감을 강화합니다. 이러한 경험을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/대화기피,서로 말도 잘 안 걸어.,"소통의 부족은 종종 관계의 단절을 초래할 수 있습니다. 이러한 상황을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/대화기피,"말 한마디도 대꾸 안하고, 지금 카톡오는 거 다 씹고 있어.","의사소통의 단절은 종종 심리적 고통을 반영합니다. 이러한 감정을 수용하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/대화기피,그 뒤로는 나도 말을 안 하고 살아.,"고립은 종종 개인의 심리적 상태에 영향을 미칩니다. 이러한 경험을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/대화기피,아무와도 이야기하고 싶지 않아.,"대화의 거부는 종종 내면의 갈등을 반영합니다. 이러한 감정을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/두근거림,"일할 때도 무슨 일이 생긴 것도 아닌데, 가슴이 두근두근해서 누가 알까봐 긴장돼요.","불안감은 종종 심리적 상태를 반영합니다. 이러한 경험을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/두근거림,그때부터 가슴이 막 두근두근하는거야. 진정하려고 손으로 눌러도 계속 두근두근… ,"신체적 반응은 종종 감정적 고통을 반영합니다. 이러한 감정을 수용하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/두근거림,"심장도 막 두근두근하는 게 느껴지는데, 이대로 앉아 있을 수가 없겠더라고요.","불안감의 증가는 종종 개인의 행동에 영향을 미칩니다. 이러한 경험을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/두근거림,한 3일을 새벽에 잠깐 1시간 자고 출근을 했더니 일하는데 갑자기 가슴이 두근거리는 거에요.,"수면 부족은 종종 신체적 증상과 연결됩니다. 이러한 상황을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/두근거림,심장이 컨트롤이 안 되는 느낌이야.,"심리적 불안은 종종 신체적 반응을 유발할 수 있습니다. 이러한 감정을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/두근거림/불면,"요즘에 불면증이 좀 심해졌는데, 수면을 충분하게 취하지 못하니까 심장이 불쾌하게 두근거려.","불면증은 종종 정신적 스트레스와 관련이 있습니다. 이러한 경험을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/두근거림/불면,"몸은 진짜 피곤한데, 잠이 안와요. 누우면 계속 뒤척이고, 심장이 두근두근거려요.","피로와 불면은 종종 심리적 요인과 연결됩니다. 이러한 감정을 수용하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/두근거림/불면,"어제는 잠이 안 오니까 심장이 두근거리고, 심장이 두근거리니까 못 잤어.","불안감과 수면 부족은 종종 상호작용합니다. 이러한 상황을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/두근거림/불면,심장 뛰는 소리가 거의 귀에까지 들리는 거 같아서… 못 자요.,"심리적 불안은 종종 신체적 증상으로 나타날 수 있습니다. 이러한 경험을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/두근거림/불면,뜬 눈으로 밤을 지새다 보니까 낮에 항상 가슴이 두근거리거든요.,"수면 부족과 불안감의 악순환은 종종 개인의 삶에 큰 영향을 미칩니다. 이러한 경험을 수용하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/두통,그런데 열흘 전부터는 골이 쪼개질 듯이 아픈 거야.,"두통은 종종 스트레스와 관련이 있습니다. 이러한 증상을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/두통,저녁에 머리가 제일 많이 아파. ,"특정 시간대에 두통이 심해지는 것은 종종 신체적 또는 정신적 요인과 연결됩니다. 이러한 경험을 이해하고, 필요한 지원을 요청하는 것이 중요합니다."
증상/두통,머리 위에 꼭 누가 바위라도 얹어놓은 것 같아요.,"압박감은 종종 심리적 고통의 표현입니다. 이러한 감정을 수용하고, 필요한 지원을 요청하는 것이 중요합니다."
